time,lead_ii,pulse_reference,respiration_belt
2.100000,0.336683,0.157051,0.129561
2.104167,0.606695,0.130979,0.117214
2.108333,0.803319,0.136578,0.087895
2.112500,0.986561,0.153804,0.115516
2.116667,1.126852,0.134308,0.102023
2.120833,1.100089,0.158917,0.080517
2.125000,0.928810,0.162460,0.090201
2.129167,0.714042,0.162318,0.076877
2.133333,0.452841,0.157853,0.084268
2.137500,0.189391,0.167651,0.052000
2.141667,-0.003650,0.193973,0.053992
2.145833,-0.175517,0.187337,0.034439
2.150000,-0.205944,0.189622,0.040056
2.154167,-0.164922,0.221075,0.025285
2.158333,-0.124098,0.222433,0.038148
2.162500,-0.080410,0.236505,0.028700
2.166667,0.006760,0.261283,0.033632
2.170833,0.035738,0.276415,-0.001226
2.175000,0.028897,0.307894,0.017719
2.179167,0.015862,0.319920,0.005268
2.183333,0.028901,0.328200,0.007168
2.187500,0.050608,0.343152,-0.021728
2.191667,0.021382,0.352293,-0.020246
2.195833,0.004538,0.361618,-0.010038
2.200000,0.034079,0.393231,-0.028018
2.204167,0.039798,0.386863,-0.050258
2.208333,0.039234,0.370455,-0.033979
2.212500,0.038058,0.380437,-0.031042
2.216667,0.051169,0.366110,-0.039595
2.220833,0.063747,0.363331,-0.046693
2.225000,0.088493,0.332274,-0.055645
2.229167,0.068851,0.317368,-0.085000
2.233333,0.105294,0.301575,-0.079713
2.237500,0.120021,0.275950,-0.075118
2.241667,0.094470,0.256417,-0.097864
2.245833,0.107587,0.233008,-0.105900
2.250000,0.136093,0.224681,-0.112391
2.254167,0.133197,0.216108,-0.105630
2.258333,0.147657,0.194506,-0.118012
2.262500,0.159736,0.175821,-0.102662
2.266667,0.188557,0.167312,-0.125070
2.270833,0.194763,0.178584,-0.143528
2.275000,0.205162,0.152874,-0.130943
2.279167,0.197652,0.144745,-0.157782
2.283333,0.212404,0.149274,-0.140983
2.287500,0.250383,0.162276,-0.165472
2.291667,0.265904,0.140743,-0.165379
2.295833,0.233762,0.162438,-0.164057
2.300000,0.250838,0.160164,-0.185338
2.304167,0.282309,0.140791,-0.175895
2.308333,0.285377,0.151627,-0.191656
2.312500,0.273708,0.151328,-0.184532
2.316667,0.310435,0.165119,-0.190461
2.320833,0.336547,0.147762,-0.186156
2.325000,0.306806,0.155574,-0.203947
2.329167,0.295851,0.146137,-0.213616
2.333333,0.299878,0.154164,-0.218900
2.337500,0.335309,0.134747,-0.225265
2.341667,0.312190,0.156129,-0.235216
2.345833,0.290733,0.151128,-0.227928
2.350000,0.294141,0.139230,-0.232231
2.354167,0.297545,0.133120,-0.263767
2.358333,0.301418,0.134960,-0.270590
2.362500,0.267836,0.112981,-0.259720
2.366667,0.287988,0.117706,-0.279966
2.370833,0.281805,0.112092,-0.277823
2.375000,0.279370,0.106303,-0.279150
2.379167,0.256335,0.101442,-0.296588
2.383333,0.227749,0.117107,-0.303180
2.387500,0.237895,0.101460,-0.293453
2.391667,0.215547,0.101469,-0.309043
2.395833,0.186087,0.093892,-0.324023
2.400000,0.180516,0.094825,-0.300269
2.404167,0.206245,0.118325,-0.309553
2.408333,0.157492,0.123586,-0.310564
2.412500,0.147071,0.117519,-0.318683
2.416667,0.127589,0.124696,-0.350402
2.420833,0.144548,0.111954,-0.353679
2.425000,0.124508,0.114175,-0.356219
2.429167,0.106271,0.116446,-0.359487
2.433333,0.097725,0.126780,-0.366004
2.437500,0.099161,0.144939,-0.377991
2.441667,0.095780,0.143398,-0.360188
2.445833,0.042638,0.137882,-0.357455
2.450000,0.069680,0.129798,-0.388365
2.454167,0.061237,0.134289,-0.376430
2.458333,0.055044,0.138631,-0.389679
2.462500,0.030321,0.126870,-0.413553
2.466667,0.041741,0.150656,-0.398737
2.470833,0.038533,0.137678,-0.396715
2.475000,0.028638,0.141756,-0.420081
2.479167,-0.015248,0.142622,-0.413529
2.483333,0.003911,0.141122,-0.422384
2.487500,0.017193,0.136268,-0.435102
2.491667,0.011311,0.139627,-0.424250
2.495833,-0.015067,0.108021,-0.432395
2.500000,0.005345,0.115073,-0.455263
2.504167,0.011559,0.126762,-0.434872
2.508333,0.000550,0.120972,-0.458379
2.512500,-0.006592,0.100187,-0.466837
2.516667,-0.028912,0.116222,-0.469217
2.520833,0.011015,0.114444,-0.465276
2.525000,-0.000879,0.104130,-0.464848
2.529167,-0.023005,0.109274,-0.471365
2.533333,-0.010854,0.091066,-0.490569
2.537500,-0.015628,0.082954,-0.494912
2.541667,-0.029572,0.089498,-0.485749
2.545833,-0.026926,0.107629,-0.518803
2.550000,-0.030493,0.098073,-0.498837
2.554167,-0.008065,0.093790,-0.511899
2.558333,-0.021878,0.093329,-0.515474
2.562500,-0.042543,0.113075,-0.541181
2.566667,-0.035272,0.100089,-0.517943
2.570833,-0.014533,0.124999,-0.532299
2.575000,-0.009037,0.127144,-0.554947
2.579167,-0.025896,0.123709,-0.550605
2.583333,-0.007219,0.130684,-0.558292
2.587500,-0.024155,0.133602,-0.550325
2.591667,-0.034707,0.135373,-0.548488
2.595833,-0.052165,0.133629,-0.563386
2.600000,-0.018504,0.132425,-0.564931
2.604167,0.008089,0.132519,-0.565653
2.608333,-0.014808,0.119539,-0.577339
2.612500,-0.047234,0.132657,-0.576693
2.616667,-0.030005,0.121092,-0.599180
2.620833,-0.012224,0.130096,-0.599472
2.625000,-0.039928,0.133248,-0.598468
2.629167,-0.036449,0.136657,-0.603623
2.633333,-0.007267,0.127793,-0.597050
2.637500,-0.012239,0.128654,-0.618227
2.641667,-0.027144,0.116291,-0.610940
2.645833,-0.053410,0.093951,-0.623615
2.650000,-0.018886,0.097138,-0.617145
2.654167,-0.014256,0.095255,-0.627338
2.658333,-0.005556,0.099397,-0.640161
2.662500,-0.043666,0.082655,-0.650627
2.666667,-0.039266,0.079377,-0.646841
2.670833,0.002947,0.095209,-0.661272
2.675000,-0.024768,0.078668,-0.652518
2.679167,-0.049406,0.078566,-0.652445
2.683333,-0.038784,0.092201,-0.647497
2.687500,-0.022630,0.089617,-0.652354
2.691667,-0.025322,0.093613,-0.688025
2.695833,-0.028748,0.102931,-0.665851
2.700000,-0.008684,0.109374,-0.665736
2.704167,-0.028137,0.102438,-0.671865
2.708333,-0.024957,0.112289,-0.697274
2.712500,-0.031151,0.093199,-0.707864
2.716667,-0.025090,0.096953,-0.693750
2.720833,0.001337,0.099007,-0.718360
2.725000,-0.028262,0.131175,-0.692753
2.729167,-0.027141,0.132430,-0.703229
2.733333,-0.035261,0.117167,-0.729582
2.737500,-0.034560,0.117518,-0.713118
2.741667,-0.010378,0.121906,-0.706762
2.745833,-0.035368,0.112567,-0.740123
2.750000,-0.043709,0.136992,-0.741254
2.754167,-0.031596,0.119942,-0.748463
2.758333,-0.040529,0.110296,-0.731615
2.762500,-0.043827,0.136667,-0.744622
2.766667,-0.014919,0.123154,-0.734366
2.770833,-0.000367,0.127228,-0.746164
2.775000,-0.020772,0.118896,-0.742741
2.779167,-0.021652,0.104190,-0.765056
2.783333,-0.001811,0.099647,-0.765418
2.787500,0.017530,0.111370,-0.753252
2.791667,0.000035,0.109320,-0.759142
2.795833,-0.018402,0.086967,-0.762812
2.800000,0.028863,0.078880,-0.773088
2.804167,0.021414,0.095615,-0.776972
2.808333,0.031626,0.078071,-0.791385
2.812500,0.040141,0.073864,-0.780413
2.816667,0.053795,0.079354,-0.793189
2.820833,0.074615,0.082100,-0.788192
2.825000,0.042366,0.080113,-0.799570
2.829167,0.026934,0.071804,-0.799973
2.833333,0.061564,0.087310,-0.794288
2.837500,0.063352,0.074367,-0.813237
2.841667,0.047598,0.098550,-0.826359
