time,analog_channel_a,analog_channel_b,motion_proxy
1.116667,0.129348,-0.102244,0.019982
1.125000,0.361809,-0.002147,0.006238
1.133333,0.239742,0.023276,-0.070112
1.141667,0.164381,0.037512,-0.068647
1.150000,-0.373076,-0.334795,-0.004903
1.158333,-0.477913,-0.624471,-0.112396
1.166667,-0.473932,-0.511587,-0.127977
1.175000,-0.148396,-0.292053,-0.087034
1.183333,-0.392743,-0.436292,-0.115731
1.191667,-0.175691,-0.337355,-0.078560
1.200000,-0.006518,-0.197486,-0.103563
1.208333,-0.506492,-0.485973,-0.064887
1.216667,-0.776211,-0.746032,-0.115270
1.225000,-0.927767,-0.690249,-0.093760
1.233333,-0.355153,-0.507103,-0.072115
1.241667,-0.317477,-0.364874,-0.005469
1.250000,-0.526277,-0.430470,-0.000761
1.258333,-0.301032,-0.350422,-0.009555
1.266667,-0.541473,-0.289125,0.075664
1.275000,-0.697364,-0.535973,0.075283
1.283333,-0.834379,-0.652532,0.078212
1.291667,-0.561409,-0.169091,0.110476
1.300000,-0.178325,0.086228,0.094597
1.308333,-0.053942,0.029024,0.091990
1.316667,-0.379767,0.040689,0.066646
1.325000,-0.174648,-0.031678,0.081558
1.333333,-0.389326,-0.195830,0.073015
1.341667,-0.469762,-0.090842,0.045752
1.350000,-0.292997,0.017930,0.072162
1.358333,0.173300,0.438298,0.019361
1.366667,0.483809,0.530738,-0.015269
1.375000,0.260544,0.262918,-0.076999
1.383333,0.129783,0.272783,-0.096644
1.391667,0.191166,0.324033,-0.110028
1.400000,0.143119,0.361781,-0.111982
1.408333,0.216585,0.278719,-0.159699
1.416667,0.394829,0.415845,-0.207010
1.425000,0.929509,0.646812,-0.202331
1.433333,0.592340,0.553469,-0.298047
1.441667,0.504140,0.225815,-0.285407
1.450000,0.140941,0.265183,-0.284830
1.458333,0.605727,0.400551,-0.313035
1.466667,0.530027,0.307132,-0.389241
1.475000,0.642726,0.363840,-0.353531
1.483333,1.026103,0.632494,-0.444050
1.491667,0.858721,0.569049,-0.429496
1.500000,0.631448,0.290697,-0.455844
1.508333,0.036737,-0.081788,-0.388278
1.516667,0.255924,0.119148,-0.392493
1.525000,0.498258,0.106959,-0.391482
1.533333,0.676171,0.305491,-0.415075
1.541667,0.585227,0.073844,-0.340318
1.550000,0.668394,0.164058,-0.369122
1.558333,0.403904,0.078467,-0.349544
1.566667,-0.152714,-0.325199,-0.231981
1.575000,-0.111387,-0.423175,-0.248806
1.583333,-0.087374,-0.139731,-0.237692
1.591667,0.203578,0.042245,-0.199079
1.600000,0.234314,-0.002662,-0.182016
1.608333,0.037749,-0.102474,-0.229154
1.616667,-0.177409,-0.294878,-0.144459
1.625000,-0.234583,-0.327213,-0.181894
1.633333,-0.804414,-0.546127,-0.208982
1.641667,-0.566592,-0.630940,-0.166525
1.650000,-0.157012,-0.367567,-0.147740
1.658333,-0.185788,-0.174321,-0.196757
1.666667,-0.516967,-0.404737,-0.166565
1.675000,-0.659022,-0.472796,-0.220039
1.683333,-0.564780,-0.534107,-0.238140
1.691667,-0.766746,-0.604414,-0.321539
1.700000,-0.891446,-0.482515,-0.306301
1.708333,-0.726146,-0.273961,-0.342032
1.716667,-0.109092,0.036126,-0.411330
1.725000,-0.454393,0.002603,-0.392264
1.733333,-0.617022,-0.332864,-0.433084
1.741667,-0.798891,-0.245195,-0.514932
1.750000,-0.637060,-0.341267,-0.459117
1.758333,-0.523827,-0.216058,-0.467379
1.766667,-0.311350,-0.073739,-0.530790
1.775000,-0.132686,0.183038,-0.520268
1.783333,0.241099,0.197538,-0.618510
1.791667,-0.311565,0.082294,-0.615693
1.800000,-0.585514,-0.151783,-0.623527
1.808333,-0.290189,-0.147638,-0.574230
1.816667,-0.187335,0.011524,-0.502953
1.825000,-0.058153,0.080001,-0.510774
1.833333,0.313434,0.275858,-0.517918
1.841667,0.398754,0.450431,-0.490781
1.850000,0.608205,0.345565,-0.528589
1.858333,-0.006713,0.186076,-0.507345
1.866667,-0.069435,0.150129,-0.455573
1.875000,0.276627,0.372299,-0.363418
1.883333,0.510153,0.365125,-0.389033
1.891667,0.562241,0.393457,-0.391904
1.900000,0.729922,0.451889,-0.333634
1.908333,0.830315,0.504938,-0.248197
1.916667,0.633076,0.317851,-0.230653
1.925000,0.173441,-0.003297,-0.191506
1.933333,0.406773,0.148922,-0.283952
1.941667,0.589200,0.358745,-0.213289
1.950000,0.889548,0.431080,-0.190770
1.958333,0.666624,0.207046,-0.209920
1.966667,0.765388,0.175295,-0.244741
1.975000,0.650814,0.081746,-0.184467
1.983333,0.201175,-0.004701,-0.220605
1.991667,0.052536,-0.216117,-0.218514
2.000000,0.399843,0.139449,-0.245622
2.008333,0.758008,0.317658,-0.298619
2.016667,0.402428,0.105418,-0.378285
2.025000,0.159509,0.043568,-0.405764
2.033333,0.004841,-0.154025,-0.331152
2.041667,-0.007226,-0.218871,-0.378033
2.050000,-0.279825,-0.284695,-0.377105
2.058333,-0.275114,-0.262238,-0.465144
2.066667,0.060242,-0.079264,-0.523617
2.075000,0.046872,0.105945,-0.460529
2.083333,-0.074356,-0.084356,-0.528174
2.091667,-0.583105,-0.385186,-0.516762
2.100000,-0.531129,-0.494587,-0.523976
2.108333,-0.470710,-0.427929,-0.520326
2.116667,-0.759427,-0.480276,-0.536286
2.125000,-0.488658,-0.117372,-0.474443
2.133333,-0.117293,-0.017861,-0.514677
2.141667,-0.301947,-0.004130,-0.477177
2.150000,-0.643686,-0.499200,-0.451493
2.158333,-1.078170,-0.423008,-0.411007
2.166667,-0.822719,-0.283972,-0.343109
2.175000,-0.630862,-0.305675,-0.335751
2.183333,-0.656337,-0.119062,-0.293897
2.191667,-0.286885,0.044851,-0.249109
2.200000,-0.107578,0.041307,-0.194442
2.208333,-0.639610,-0.127710,-0.154030
2.216667,-0.691830,-0.491892,-0.131059
2.225000,-0.770441,-0.201075,-0.091961
2.233333,-0.146153,0.049246,-0.124444
2.241667,-0.068050,0.073175,-0.069220
2.250000,0.100585,-0.000135,-0.050996
2.258333,-0.047941,0.214679,-0.066635
2.266667,0.175759,0.168285,-0.032238
2.275000,-0.259150,-0.028166,-0.081123
2.283333,-0.458633,-0.090071,-0.035344
2.291667,0.081180,0.013174,-0.101617
2.300000,0.655629,0.423007,0.001194
2.308333,0.433319,0.367918,-0.096089
2.316667,0.407986,0.228685,-0.046257
2.325000,0.409906,0.137361,-0.084965
2.333333,0.480059,0.124872,-0.164619
2.341667,0.145531,0.096621,-0.113766
2.350000,0.258219,0.091297,-0.182520
2.358333,0.677883,0.401222,-0.232447
2.366667,0.989949,0.612200,-0.250084
2.375000,0.844084,0.367813,-0.197462
2.383333,0.308842,0.106575,-0.266735
2.391667,0.463534,0.178721,-0.296974
2.400000,0.433919,0.001694,-0.231232
2.408333,0.288539,-0.020382,-0.256294
2.416667,0.642583,0.253735,-0.251241
2.425000,1.046899,0.404736,-0.305627
2.433333,0.837425,0.272001,-0.294316
2.441667,0.216788,0.041834,-0.231194
2.450000,0.083560,0.034562,-0.240588
2.458333,0.064171,0.100019,-0.132117
2.466667,0.308238,0.039337,-0.113130
2.475000,0.126291,0.040891,-0.108286
2.483333,0.401085,0.226607,-0.080872
2.491667,0.286283,0.168044,-0.058785
2.500000,0.101723,0.037789,-0.000885
2.508333,-0.410531,-0.353709,0.064367
2.516667,-0.271769,-0.303272,0.125809
2.525000,-0.187600,-0.013685,0.148797
2.533333,-0.148486,-0.069626,0.129837
2.541667,-0.275947,-0.069947,0.207467
2.550000,-0.022464,0.142598,0.170041
2.558333,-0.452618,0.020933,0.232283
2.566667,-0.613436,-0.502332,0.292128
2.575000,-1.038317,-0.454255,0.266922
2.583333,-0.645747,-0.211283,0.276336
2.591667,-0.439147,-0.157731,0.274333
2.600000,-0.243895,-0.042221,0.214462
2.608333,-0.344026,-0.120700,0.291158
2.616667,-0.583196,-0.104060,0.274973
2.625000,-0.620913,-0.268579,0.239486
2.633333,-0.821981,-0.415326,0.243993
2.641667,-0.915365,-0.449214,0.185357
2.650000,-0.440720,-0.037195,0.157140
2.658333,-0.092590,0.074494,0.088852
2.666667,-0.428004,-0.170280,0.103466
2.675000,-0.247854,-0.070584,0.145827
2.683333,-0.295991,-0.100892,0.124892
2.691667,-0.405819,-0.214616,0.095206
2.700000,-0.463409,-0.233458,0.018829
2.708333,0.029401,-0.078927,0.089135
2.716667,0.188578,0.230148,0.056686
2.725000,0.115947,0.195012,0.039623
2.733333,-0.199858,-0.054449,0.049963
2.741667,0.022902,-0.066785,0.058625
2.750000,-0.076556,-0.123740,0.006252
2.758333,0.166921,0.035759,0.078991
2.766667,0.320536,-0.042207,0.150311
2.775000,0.788482,0.318005,0.093054
2.783333,0.731324,0.379907,0.164504
2.791667,0.559852,0.123470,0.167991
2.800000,0.205582,-0.085719,0.266999
2.808333,0.296296,0.039986,0.211186
2.816667,0.501532,0.089492,0.337366
2.825000,0.653965,0.219665,0.325693
2.833333,0.578895,0.350307,0.317008
2.841667,0.796761,0.394593,0.351211
2.850000,0.922806,0.272429,0.424504
2.858333,0.478814,-0.030107,0.496099
2.866667,0.276909,-0.137422,0.486300
2.875000,0.420798,0.134434,0.549597
2.883333,0.469609,0.276398,0.494000
2.891667,0.729471,0.243241,0.543192
2.900000,0.653270,0.235798,0.485960
2.908333,0.489220,0.410727,0.476817
2.916667,0.319321,0.061754,0.487879
2.925000,-0.170055,-0.195275,0.543929
2.933333,-0.181841,-0.120609,0.525835
2.941667,0.180582,0.151243,0.472533
2.950000,0.254240,0.199475,0.455577
2.958333,0.100905,0.235828,0.383994
2.966667,-0.088953,0.187210,0.438010
2.975000,-0.091911,0.093490,0.362935
2.983333,-0.538540,-0.137605,0.339097
2.991667,-0.528211,-0.396364,0.293104
3.000000,-0.282869,-0.086895,0.248377
3.008333,-0.021723,0.175762,0.222471
3.016667,-0.264765,-0.061908,0.230980
3.025000,-0.353741,-0.182076,0.265216
3.033333,-0.490731,-0.152184,0.219427
3.041667,-0.825891,-0.294998,0.174506
3.050000,-0.967592,-0.440032,0.193033
3.058333,-0.733463,-0.243279,0.243044
3.066667,-0.383130,-0.174605,0.261673
3.075000,-0.245732,-0.027445,0.268208
3.083333,-0.464998,-0.330949,0.280323
3.091667,-0.745565,-0.477324,0.316877
3.100000,-0.804241,-0.400319,0.274286
3.108333,-0.479320,-0.307457,0.374148
3.116667,-0.566900,-0.333297,0.408122
3.125000,-0.170675,-0.095538,0.378011
3.133333,0.158662,-0.073759,0.492422
3.141667,-0.013596,0.004085,0.528297
3.150000,-0.383435,-0.236732,0.535355
3.158333,-0.675597,-0.435710,0.535398
3.166667,-0.153117,-0.173819,0.539834
3.175000,0.101233,-0.096085,0.618995
3.183333,0.115403,-0.148548,0.625482
3.191667,0.443058,0.188705,0.599366
3.200000,0.366081,0.157359,0.655222
3.208333,0.185864,-0.058062,0.661269
3.216667,-0.187440,-0.219882,0.658223
3.225000,-0.058239,-0.161848,0.598013
3.233333,0.510163,0.085644,0.549637
3.241667,0.499770,0.284802,0.576614
3.250000,0.672350,0.210029,0.565660
3.258333,0.759358,0.253122,0.479123
3.266667,0.734816,0.363655,0.485447
3.275000,0.245200,-0.040611,0.461713
3.283333,0.191606,0.085101,0.393874
3.291667,0.474048,0.238459,0.431256
3.300000,0.797835,0.557816,0.336412
3.308333,0.922444,0.384667,0.306546
3.316667,0.505847,0.352840,0.280963
3.325000,0.406152,0.221868,0.234455
3.333333,0.511159,0.181649,0.305042
3.341667,0.164179,0.130317,0.291988
3.350000,0.283697,0.211434,0.268702
3.358333,0.538885,0.367696,0.243154
3.366667,0.716767,0.617889,0.306655
3.375000,0.271650,0.315476,0.307519
3.383333,0.045240,0.233703,0.323198
3.391667,-0.076606,0.070821,0.259143
3.400000,-0.229092,0.153757,0.361463
3.408333,-0.057333,0.059391,0.287909
3.416667,-0.146185,0.093522,0.419297
3.425000,0.217348,0.418018,0.426856
3.433333,0.173683,0.200179,0.367899
3.441667,-0.271420,-0.026412,0.429096
3.450000,-0.649859,-0.132108,0.434212
3.458333,-0.600903,-0.267420,0.475856
3.466667,-0.402069,-0.110127,0.553527
3.475000,-0.392845,-0.155426,0.581819
3.483333,-0.373973,-0.062928,0.613099
3.491667,-0.175764,0.061788,0.562924
3.500000,-0.462105,-0.315954,0.677516
3.508333,-0.796574,-0.609235,0.675907
3.516667,-0.862510,-0.416980,0.601446
3.525000,-0.667872,-0.219652,0.591340
3.533333,-0.599098,-0.253406,0.593374
3.541667,-0.555045,-0.347518,0.571458
3.550000,-0.378825,-0.253649,0.664309
3.558333,-0.270019,-0.377917,0.639625
3.566667,-0.619656,-0.633170,0.533486
3.575000,-0.919558,-0.591005,0.539090
3.583333,-0.419731,-0.338313,0.472202
3.591667,-0.202512,-0.062198,0.538997
3.600000,-0.183876,-0.160621,0.444006
3.608333,-0.169417,-0.250729,0.494851
3.616667,0.022462,-0.202484,0.467373
3.625000,-0.090752,-0.409203,0.418357
3.633333,-0.461605,-0.578040,0.392588
3.641667,-0.313868,-0.402862,0.354837
3.650000,0.272645,0.149642,0.418665
3.658333,0.377969,0.256936,0.311694
3.666667,0.431687,0.049286,0.409256
3.675000,0.396808,0.091174,0.420186
3.683333,0.399376,0.011531,0.358846
3.691667,0.091039,-0.152719,0.393807
3.700000,0.242127,-0.133707,0.376157
3.708333,0.503482,0.162580,0.412077
3.716667,0.834918,0.440930,0.469901
3.725000,0.844295,0.553204,0.452775
3.733333,0.349073,0.284690,0.532223
3.741667,0.252961,0.225790,0.620407
3.750000,0.451973,0.270069,0.635642
3.758333,0.283035,0.152936,0.711256
3.766667,0.610860,0.305024,0.701877
3.775000,0.904521,0.548523,0.746252
3.783333,0.848251,0.817935,0.824465
3.791667,0.663500,0.526686,0.797199
3.800000,0.075753,0.149968,0.788421
3.808333,0.292705,0.263570,0.891176
3.816667,0.216943,0.425892,0.927865
3.825000,0.412809,0.297243,0.847399
3.833333,0.423827,0.398504,0.939830
3.841667,0.677002,0.648439,0.854925
3.850000,0.154532,0.315135,0.891448
3.858333,-0.197340,0.069181,0.930700
3.866667,-0.372096,-0.208504,0.875060
3.875000,-0.259091,-0.021048,0.907163
3.883333,0.066628,0.140547,0.912312
3.891667,0.055911,0.122316,0.807047
3.900000,-0.012681,0.162416,0.817340
3.908333,-0.121131,-0.024591,0.843950
3.916667,-0.401210,-0.061749,0.834033
3.925000,-0.954703,-0.409062,0.796348
3.933333,-0.598514,-0.508334,0.804498
3.941667,-0.248478,-0.222006,0.794130
3.950000,-0.176339,-0.084895,0.746617
3.958333,-0.352795,-0.338303,0.732152
3.966667,-0.575604,-0.447319,0.752057
3.975000,-0.496375,-0.527064,0.717574
3.983333,-0.896750,-0.618751,0.721041
3.991667,-1.077298,-0.827146,0.819018
4.000000,-0.436665,-0.467596,0.849307
4.008333,-0.074577,-0.228094,0.874122
4.016667,-0.371525,-0.173715,0.896702
4.025000,-0.630327,-0.555295,0.937800
4.033333,-0.662364,-0.446144,0.962631
4.041667,-0.664508,-0.413149,0.957266
4.050000,-0.474171,-0.525852,0.968255
4.058333,-0.391001,-0.583322,1.012176
4.066667,0.070941,-0.024180,1.111744
4.075000,0.322910,-0.118114,1.109468
4.083333,-0.088140,-0.278766,1.151919
4.091667,-0.087473,-0.460136,1.232314
4.100000,-0.009975,-0.312142,1.201429
4.108333,0.009649,-0.085332,1.266947
4.116667,-0.022974,-0.172655,1.243490
4.125000,0.240787,0.082552,1.312131
4.133333,0.855097,0.355526,1.319596
4.141667,0.601496,0.295597,1.323605
4.150000,0.369814,0.175956,1.340863
4.158333,0.238151,0.089515,1.292139
4.166667,0.476888,0.171177,1.365826
4.175000,0.660969,0.450631,1.322081
4.183333,0.504954,0.429201,1.302784
4.191667,0.746217,0.544184,1.241923
4.200000,0.870279,0.610751,1.184269
4.208333,0.499618,0.429928,1.202501
4.216667,0.215119,0.203636,1.243348
4.225000,0.170199,0.268970,1.112326
4.233333,0.526189,0.671266,1.174123
4.241667,0.870283,0.768829,1.126224
4.250000,0.769983,0.669841,1.099126
4.258333,0.493039,0.534712,1.013856
4.266667,0.617295,0.455582,1.036460
4.275000,-0.099880,0.347595,1.067518
4.283333,-0.024156,0.198471,1.052540
4.291667,0.272596,0.231895,0.954018
4.300000,0.582482,0.421351,1.013914
4.308333,0.351322,0.401600,0.916312
4.316667,-0.045631,0.203721,0.924862
4.325000,-0.048331,0.248128,1.003293
4.333333,-0.393244,0.018112,0.986984
4.341667,-0.412383,-0.275319,0.982574
4.350000,-0.424043,-0.314487,1.059076
4.358333,-0.216255,0.089029,1.079124
4.366667,0.050391,0.108616,1.022738
4.375000,-0.210606,-0.231834,1.084166
4.383333,-0.673977,-0.365101,1.114276
4.391667,-0.490183,-0.381768,1.043461
4.400000,-0.859843,-0.632619,1.031343
4.408333,-0.690412,-0.688263,1.135891
4.416667,-0.662545,-0.363627,1.067120
4.425000,-0.126056,-0.220971,1.084223
4.433333,-0.279540,-0.318277,1.021186
4.441667,-0.764934,-0.718207,1.010379
4.450000,-1.004776,-0.665515,0.999259
4.458333,-0.531640,-0.610872,1.000463
4.466667,-0.670608,-0.678877,0.956810
4.475000,-0.362451,-0.610196,0.906131
4.483333,-0.207157,-0.385554,0.885609
4.491667,0.090765,-0.246080,0.800777
4.500000,-0.512117,-0.397815,0.714107
4.508333,-0.580757,-0.552771,0.644042
4.516667,-0.612164,-0.554451,0.598151
4.525000,-0.071062,-0.208885,0.589726
4.533333,-0.152033,-0.272601,0.421890
4.541667,-0.025339,-0.104276,0.373281
4.550000,0.392431,0.018598,0.395998
4.558333,0.355004,0.104324,0.237903
4.566667,0.060454,-0.266571,0.181639
4.575000,-0.040893,-0.206931,0.100878
4.583333,0.197117,0.130198,0.046375
4.591667,0.674984,0.364611,-0.005719
4.600000,0.527695,0.285670,-0.017779
4.608333,0.746847,0.526093,-0.095734
4.616667,0.590372,0.572068,-0.078159
4.625000,0.338829,0.257854,-0.115260
4.633333,0.305569,0.094735,-0.197137
4.641667,0.422638,0.376593,-0.218494
4.650000,0.695674,0.595452,-0.260798
4.658333,0.864875,0.762334,-0.212229
4.666667,0.588514,0.575919,-0.278218
4.675000,0.653854,0.594854,-0.278913
4.683333,0.676716,0.656268,-0.284125
4.691667,0.458507,0.354767,-0.292533
4.700000,0.182193,0.417703,-0.375122
4.708333,0.359211,0.621689,-0.323661
4.716667,0.954887,0.675600,-0.335979
4.725000,0.784941,0.704572,-0.323384
4.733333,0.370022,0.353350,-0.323293
4.741667,0.001367,0.226520,-0.357684
4.750000,0.022500,0.179481,-0.424815
4.758333,-0.001589,0.197869,-0.382869
4.766667,-0.074436,0.108333,-0.372508
4.775000,0.287686,0.200412,-0.444594
4.783333,0.484825,0.249544,-0.444722
4.791667,-0.042804,0.085866,-0.432998
4.800000,-0.571396,-0.241414,-0.502887
4.808333,-0.605362,-0.202558,-0.601238
4.816667,-0.389883,-0.138148,-0.570292
4.825000,-0.454886,-0.261751,-0.675250
4.833333,-0.253989,-0.257131,-0.615113
4.841667,-0.174638,-0.068597,-0.685602
4.850000,-0.189332,-0.248138,-0.709662
4.858333,-0.618046,-0.621258,-0.709718
4.866667,-0.782524,-0.825625,-0.754124
4.875000,-0.559892,-0.626454,-0.741180
4.883333,-0.430081,-0.482352,-0.834519
4.891667,-0.365828,-0.458733,-0.851306
4.900000,-0.424013,-0.369143,-0.799254
4.908333,-0.373088,-0.309405,-0.850209
4.916667,-0.590212,-0.629250,-0.814610
4.925000,-0.835678,-0.813341,-0.803531
4.933333,-0.415675,-0.715103,-0.727939
4.941667,-0.021543,-0.268972,-0.694445
4.950000,0.027799,-0.046106,-0.692439
4.958333,0.155898,-0.113198,-0.621864
4.966667,0.011250,-0.134876,-0.611575
4.975000,0.234131,-0.030271,-0.526213
4.983333,-0.158489,-0.093450,-0.515449
4.991667,-0.089466,-0.239541,-0.409131
5.000000,0.313504,0.284411,-0.381082
5.008333,0.865638,0.457622,-0.291827
5.016667,0.855500,0.668882,-0.323190
5.025000,0.725289,0.406729,-0.267304
5.033333,0.740247,0.515916,-0.220673
5.041667,0.626282,0.671458,-0.086714
5.050000,0.682367,0.650619,-0.115942
5.058333,1.061660,0.796140,-0.007663
5.066667,1.536393,1.196633,-0.028607
5.075000,1.527801,1.268393,-0.001854
5.083333,1.337052,1.021272,0.018989
5.091667,0.956533,0.874205,0.065102
5.100000,1.300711,1.008238,0.100391
5.108333,1.460236,1.201676,0.120523
5.116667,1.436856,1.274875,0.100254
5.125000,1.622630,1.444117,0.107746
5.133333,1.916329,1.564395,0.095961
5.141667,1.783342,1.587011,0.066751
5.150000,1.523303,1.257854,0.037715
5.158333,1.421252,1.198450,0.107393
5.166667,1.634163,1.300255,0.050338
5.175000,1.700801,1.214566,0.022374
5.183333,1.780975,1.202443,-0.022710
5.191667,1.790928,1.356514,0.081515
5.200000,1.971132,1.327119,-0.038030
5.208333,1.419332,0.999738,0.020968
5.216667,0.896856,0.876412,0.031380
5.225000,0.974388,0.899467,-0.000563
5.233333,1.442911,1.059176,0.065459
5.241667,1.531845,1.023802,0.073847
5.250000,1.350577,0.881196,0.021706
5.258333,1.238280,0.822356,0.100427
5.266667,1.169013,0.850312,0.095391
5.275000,0.904253,0.620226,0.107243
5.283333,0.618445,0.246721,0.115875
5.291667,1.020450,0.592429,0.250544
5.300000,1.245996,0.808481,0.218703
5.308333,1.025850,0.657599,0.278084
5.316667,1.149585,0.578064,0.352672
5.325000,0.932945,0.444043,0.352523
5.333333,0.919887,0.251429,0.341866
5.341667,0.505890,0.180630,0.479492
5.350000,0.561772,0.165069,0.423549
5.358333,1.190558,0.516664,0.482000
5.366667,1.218742,0.647552,0.530128
5.375000,0.773671,0.554411,0.506854
5.383333,0.825456,0.365226,0.487657
5.391667,0.604018,0.483400,0.570364
5.400000,0.815969,0.416822,0.510159
5.408333,0.696250,0.498229,0.584450
5.416667,0.934088,0.510200,0.466654
5.425000,1.310285,0.854430,0.457921
5.433333,1.311848,0.783582,0.541701
5.441667,0.990047,0.483529,0.505168
5.450000,0.737321,0.480435,0.491000
5.458333,0.760021,0.757502,0.475651
5.466667,0.911016,0.882030,0.414293
