time,chest_lead,accel_magnitude,respiration
0.304167,0.073965,0.201462,0.570370
0.308333,0.078862,0.205828,0.572559
0.312500,0.036540,0.296661,0.581911
0.316667,0.092416,0.308022,0.582859
0.320833,0.048621,0.302296,0.564499
0.325000,-0.011543,0.323656,0.575047
0.329167,0.054051,0.329190,0.597930
0.333333,-0.013873,0.327361,0.602303
0.337500,0.081201,0.426337,0.593345
0.341667,-0.007045,0.363664,0.605662
0.345833,0.064575,0.415872,0.604958
0.350000,0.071691,0.388761,0.610226
0.354167,0.040254,0.499249,0.626771
0.358333,0.059953,0.440931,0.647480
0.362500,0.090657,0.475608,0.618777
0.366667,0.030380,0.525432,0.647961
0.370833,0.088873,0.464225,0.645734
0.375000,0.061642,0.519640,0.637678
0.379167,0.054367,0.489950,0.672771
0.383333,0.087913,0.513526,0.664466
0.387500,0.135876,0.479370,0.673132
0.391667,0.018509,0.562360,0.688689
0.395833,0.094858,0.505939,0.687324
0.400000,0.068726,0.573846,0.694178
0.404167,0.122140,0.517453,0.676296
0.408333,0.095191,0.494960,0.676889
0.412500,0.107950,0.526964,0.707148
0.416667,0.093627,0.452683,0.706407
0.420833,0.114805,0.501207,0.710167
0.425000,0.124117,0.433949,0.719072
0.429167,0.068153,0.492853,0.724072
0.433333,0.125577,0.441949,0.725141
0.437500,0.083537,0.460613,0.729826
0.441667,0.027958,0.459212,0.721638
0.445833,0.031014,0.473854,0.744476
0.450000,0.046436,0.427671,0.730498
0.454167,0.105514,0.411472,0.762003
0.458333,0.020841,0.369462,0.757795
0.462500,0.084913,0.330739,0.740381
0.466667,0.054608,0.370973,0.746940
0.470833,0.129447,0.334880,0.778748
0.475000,0.033304,0.361726,0.756480
0.479167,0.054443,0.327380,0.770886
0.483333,0.039528,0.370496,0.762140
0.487500,0.008242,0.323968,0.773781
0.491667,0.017665,0.326293,0.769174
0.495833,0.028268,0.303183,0.802237
0.500000,-0.007672,0.334328,0.796760
0.504167,0.023140,0.255070,0.790690
0.508333,-0.038616,0.289799,0.806521
0.512500,-0.043221,0.195239,0.822190
0.516667,0.044259,0.217015,0.799608
0.520833,0.061920,0.230222,0.806932
0.525000,-0.000636,0.227520,0.821458
0.529167,0.013981,0.245062,0.809731
0.533333,-0.035537,0.240623,0.828152
0.537500,-0.021461,0.232885,0.832200
0.541667,-0.067888,0.237161,0.839997
0.545833,-0.076429,0.207248,0.838692
0.550000,-0.101624,0.211478,0.827415
0.554167,-0.079633,0.188864,0.834655
0.558333,-0.053906,0.209664,0.856536
0.562500,-0.095623,0.222593,0.852757
0.566667,-0.075143,0.260937,0.859472
0.570833,-0.138101,0.261417,0.862892
0.575000,-0.063573,0.224118,0.853646
0.579167,-0.096251,0.269033,0.881857
0.583333,-0.122970,0.261164,0.888792
0.587500,-0.068386,0.316069,0.869007
0.591667,-0.113583,0.312739,0.891551
0.595833,-0.110406,0.337010,0.886346
0.600000,-0.099283,0.360757,0.883608
0.604167,-0.156168,0.303592,0.883230
0.608333,-0.161757,0.370061,0.893892
0.612500,-0.155857,0.328924,0.897288
0.616667,-0.118116,0.385032,0.903174
0.620833,-0.095846,0.331026,0.894201
0.625000,-0.190031,0.450269,0.895214
0.629167,-0.159678,0.368674,0.899416
0.633333,-0.131635,0.384556,0.926160
0.637500,-0.128560,0.480969,0.910768
0.641667,-0.135645,0.438694,0.928779
0.645833,-0.196298,0.530900,0.933895
0.650000,-0.131628,0.498249,0.936392
0.654167,-0.113070,0.447921,0.916874
0.658333,-0.191918,0.462664,0.937495
0.662500,-0.150730,0.500178,0.947598
0.666667,-0.103473,0.486320,0.944274
0.670833,-0.111127,0.503496,0.958491
0.675000,-0.111967,0.553591,0.930667
0.679167,-0.150936,0.588941,0.954614
0.683333,-0.080042,0.504929,0.937866
0.687500,-0.108867,0.570180,0.962184
0.691667,-0.169707,0.564095,0.965504
0.695833,-0.098679,0.535940,0.950655
0.700000,-0.067540,0.582517,0.960888
0.704167,-0.131201,0.514326,0.966313
0.708333,-0.044713,0.561435,0.970535
0.712500,-0.144375,0.576678,0.980843
0.716667,-0.068042,0.568449,0.961968
0.720833,-0.054493,0.572505,0.954589
0.725000,-0.025487,0.509047,0.959972
0.729167,-0.061916,0.512419,0.988224
0.733333,-0.040729,0.554319,0.985009
0.737500,-0.074402,0.465140,0.996353
0.741667,0.008171,0.499627,0.971666
0.745833,-0.054861,0.501081,0.972815
0.750000,-0.013136,0.451125,0.999136
0.754167,0.054487,0.421871,0.980349
0.758333,0.039264,0.408001,0.977381
0.762500,0.007925,0.487476,0.981590
0.766667,0.012460,0.396303,0.997403
0.770833,0.045715,0.371463,0.979067
0.775000,0.054335,0.424148,1.011727
0.779167,-0.010860,0.397568,0.991558
0.783333,0.058462,0.353705,1.016188
0.787500,0.106085,0.387825,0.998689
0.791667,0.104234,0.277811,0.989052
0.795833,0.083477,0.358081,0.996237
0.800000,0.116043,0.235964,1.020093
0.804167,0.114162,0.235059,1.012507
0.808333,0.055264,0.313778,0.997402
0.812500,0.084648,0.297212,1.009012
0.816667,0.068063,0.295519,1.010654
0.820833,0.116227,0.172010,1.007627
0.825000,0.106017,0.161725,1.011371
0.829167,0.077100,0.147652,1.027018
0.833333,0.162882,0.200392,1.011674
0.837500,0.156454,0.230966,1.017365
0.841667,0.140840,0.146866,1.015210
0.845833,0.092460,0.197204,1.031624
0.850000,0.091343,0.195706,1.019712
0.854167,0.201196,0.201986,1.016057
0.858333,0.156541,0.183554,1.035409
0.862500,0.141463,0.175129,1.014174
0.866667,0.190218,0.122079,1.027008
0.870833,0.155275,0.173067,1.012040
0.875000,0.134485,0.125312,1.037089
0.879167,0.113305,0.204760,1.019264
0.883333,0.099699,0.213647,1.042747
0.887500,0.206350,0.189995,1.016294
0.891667,0.168237,0.188055,1.023239
0.895833,0.136468,0.206596,1.011119
0.900000,0.111087,0.199852,1.044634
0.904167,0.111829,0.227895,1.024611
0.908333,0.137660,0.181987,1.034590
0.912500,0.093249,0.197652,1.033737
0.916667,0.116663,0.237524,1.045237
0.920833,0.173899,0.262832,1.019680
0.925000,0.139060,0.214266,1.043494
0.929167,0.168768,0.283329,1.026746
0.933333,0.166559,0.279184,1.014536
0.937500,0.182838,0.330731,1.026226
0.941667,0.137600,0.243454,1.023396
0.945833,0.130417,0.313039,1.014044
0.950000,0.156016,0.362783,1.012781
0.954167,0.146136,0.332385,1.018430
0.958333,0.241248,0.320238,1.029973
0.962500,0.173484,0.368827,1.038605
0.966667,0.193536,0.396225,1.043883
0.970833,0.169679,0.334767,1.017020
0.975000,0.188845,0.329759,1.038117
0.979167,0.150289,0.365985,1.042846
0.983333,0.132632,0.344672,1.023626
0.987500,0.119473,0.434831,1.025455
0.991667,0.079509,0.341539,1.038523
0.995833,0.158085,0.397113,1.034690
1.000000,0.145287,0.419000,1.031975
1.004167,0.070723,0.384847,1.013782
1.008333,0.103379,0.365367,1.011043
1.012500,0.072764,0.420783,1.031333
1.016667,0.103425,0.343091,1.024379
1.020833,0.131037,0.437564,1.021926
1.025000,0.116717,0.408564,1.004589
1.029167,0.087235,0.411793,1.017351
1.033333,0.065288,0.387230,1.016334
1.037500,0.141198,0.364496,1.016722
1.041667,0.052258,0.302736,1.005230
1.045833,0.098308,0.325248,1.007386
1.050000,0.150925,0.357554,1.012265
1.054167,0.102815,0.294345,1.013203
1.058333,0.145391,0.348207,1.010457
1.062500,0.156476,0.306287,1.021176
1.066667,0.156795,0.271530,1.015463
1.070833,0.147024,0.202429,1.018259
1.075000,0.060195,0.227223,0.986417
1.079167,0.118650,0.252056,1.007453
1.083333,0.071596,0.149062,0.992318
1.087500,0.103617,0.124879,0.991490
1.091667,0.037172,0.168289,0.996680
1.095833,0.007025,0.162400,0.977697
1.100000,-0.002635,0.167505,0.994694
1.104167,0.107308,0.056039,1.001512
1.108333,0.160890,0.060431,0.988962
1.112500,0.301359,0.102550,0.977080
1.116667,0.517464,0.083888,0.989766
1.120833,0.716901,0.087358,0.980007
1.125000,0.961032,-0.000689,0.963712
1.129167,1.133436,-0.029328,0.972114
1.133333,1.292169,0.029569,0.973468
1.137500,1.212938,0.010125,0.960361
1.141667,1.120030,-0.035145,0.971421
1.145833,0.837252,-0.097497,0.961016
1.150000,0.577391,-0.058750,0.954931
1.154167,0.373823,-0.069618,0.981580
1.158333,0.094303,-0.116651,0.971698
1.162500,0.027071,-0.097489,0.947933
1.166667,-0.046308,-0.110616,0.958254
1.170833,0.007386,-0.132749,0.965831
1.175000,0.082775,-0.092793,0.939722
1.179167,0.082879,-0.132865,0.951047
1.183333,0.228310,-0.141231,0.949757
1.187500,0.210226,-0.145100,0.936423
1.191667,0.190105,-0.122500,0.955020
1.195833,0.172231,-0.082695,0.932611
1.200000,0.158099,-0.100396,0.928205
1.204167,0.186093,-0.141466,0.917907
1.208333,0.136869,-0.105109,0.920807
1.212500,0.131343,-0.110189,0.940241
1.216667,0.187599,-0.026338,0.926377
1.220833,0.209973,-0.018862,0.921905
1.225000,0.219214,-0.081581,0.912161
1.229167,0.138911,-0.006277,0.929073
1.233333,0.166990,0.013491,0.917262
1.237500,0.192424,-0.076830,0.916111
1.241667,0.153455,-0.045758,0.906674
1.245833,0.222860,-0.054286,0.895175
1.250000,0.193868,0.043965,0.882098
1.254167,0.211358,-0.038258,0.895356
1.258333,0.189351,0.026271,0.875611
1.262500,0.158896,0.060968,0.885553
1.266667,0.214812,0.078416,0.893142
1.270833,0.234011,0.029009,0.868121
1.275000,0.234148,0.111608,0.867106
1.279167,0.203038,0.109863,0.877859
1.283333,0.171612,0.109971,0.854493
1.287500,0.191244,0.100132,0.874375
1.291667,0.263823,0.072344,0.854772
1.295833,0.171981,0.146223,0.865559
1.300000,0.259963,0.123828,0.848995
1.304167,0.192588,0.097584,0.839910
1.308333,0.180673,0.114986,0.853130
1.312500,0.204485,0.115193,0.837034
1.316667,0.267771,0.126846,0.832054
1.320833,0.262048,0.079265,0.849819
1.325000,0.203560,0.115908,0.816874
1.329167,0.264292,0.052218,0.818574
1.333333,0.206417,0.059985,0.828037
1.337500,0.229815,0.131727,0.835896
1.341667,0.193160,0.092042,0.817586
1.345833,0.193449,0.044842,0.795176
1.350000,0.220560,0.026966,0.821274
1.354167,0.233175,0.102646,0.787697
1.358333,0.159030,0.088228,0.797319
1.362500,0.151847,0.061035,0.790141
1.366667,0.246862,-0.026648,0.784312
1.370833,0.220548,0.035024,0.772732
1.375000,0.140026,0.032146,0.773462
1.379167,0.133749,-0.049415,0.792071
1.383333,0.118890,-0.105519,0.772584
1.387500,0.104752,-0.092234,0.772570
1.391667,0.104125,-0.078580,0.777694
1.395833,0.157311,-0.077621,0.772174
1.400000,0.145443,-0.107106,0.738192
1.404167,0.157760,-0.187241,0.741129
1.408333,0.123554,-0.105262,0.749050
1.412500,0.005536,-0.173502,0.747600
1.416667,0.007149,-0.157994,0.726123
1.420833,0.050014,-0.215805,0.724656
1.425000,0.071649,-0.209414,0.731723
1.429167,0.064425,-0.207414,0.712625
1.433333,0.042984,-0.257588,0.703030
1.437500,-0.019920,-0.319015,0.699711
1.441667,0.035166,-0.339356,0.709942
1.445833,-0.066158,-0.317807,0.702162
1.450000,-0.049712,-0.308727,0.704764
1.454167,0.007628,-0.301513,0.686633
1.458333,-0.005852,-0.413949,0.671022
1.462500,-0.071746,-0.422589,0.674491
1.466667,0.031806,-0.393566,0.663842
1.470833,0.029601,-0.352986,0.669843
1.475000,0.024732,-0.368705,0.661064
1.479167,-0.063264,-0.394830,0.657317
1.483333,-0.051571,-0.414328,0.660063
1.487500,0.042991,-0.346082,0.652971
1.491667,0.007132,-0.443239,0.628698
1.495833,-0.072733,-0.413929,0.641477
1.500000,-0.051408,-0.436582,0.624290
1.504167,-0.010032,-0.361230,0.636146
1.508333,0.021459,-0.448118,0.621437
1.512500,-0.025226,-0.391066,0.615780
1.516667,0.001038,-0.441607,0.598768
1.520833,0.013773,-0.362562,0.604999
1.525000,-0.001313,-0.408536,0.588554
1.529167,-0.038031,-0.407168,0.593303
1.533333,0.003915,-0.399379,0.595833
1.537500,0.049017,-0.295835,0.583411
1.541667,0.023930,-0.387024,0.586607
1.545833,0.022730,-0.296606,0.565473
1.550000,-0.027798,-0.337482,0.544941
1.554167,0.093420,-0.340829,0.549253
1.558333,0.020610,-0.279476,0.533788
1.562500,0.068055,-0.248421,0.532363
1.566667,0.025135,-0.264963,0.533517
1.570833,0.105343,-0.199099,0.533187
1.575000,0.049749,-0.205561,0.513226
1.579167,-0.012481,-0.277585,0.534846
1.583333,0.072566,-0.222409,0.524529
1.587500,0.017182,-0.162796,0.506133
1.591667,0.112206,-0.248348,0.494012
1.595833,-0.015129,-0.147204,0.491901
1.600000,0.035009,-0.129300,0.501039
1.604167,0.076895,-0.124869,0.480337
1.608333,0.061716,-0.115617,0.491810
1.612500,0.052389,-0.122508,0.454397
1.616667,0.035898,-0.100620,0.474767
1.620833,0.101435,-0.200036,0.448149
1.625000,0.038866,-0.189416,0.443906
1.629167,0.090490,-0.138732,0.440438
1.633333,0.016057,-0.151206,0.436003
1.637500,0.059285,-0.157210,0.434031
1.641667,0.065390,-0.181239,0.444270
1.645833,0.070935,-0.117413,0.421505
1.650000,0.102063,-0.207355,0.431986
1.654167,0.018079,-0.165520,0.405776
1.658333,0.047992,-0.228056,0.386182
1.662500,0.063148,-0.211861,0.402833
1.666667,0.082754,-0.148764,0.404965
1.670833,0.056332,-0.226455,0.384261
1.675000,0.062096,-0.230801,0.391796
1.679167,0.019099,-0.275345,0.374775
1.683333,0.005371,-0.296199,0.379066
1.687500,0.028665,-0.281045,0.373422
1.691667,0.073127,-0.307571,0.352342
1.695833,0.057396,-0.234947,0.359995
1.700000,0.014882,-0.249317,0.324466
1.704167,0.069679,-0.365795,0.320374
1.708333,0.041139,-0.284720,0.326186
1.712500,0.028774,-0.392890,0.322680
1.716667,0.087362,-0.355634,0.301994
1.720833,0.040474,-0.419356,0.302815
1.725000,0.050463,-0.409226,0.304122
1.729167,0.092732,-0.401768,0.305187
1.733333,0.094719,-0.386631,0.301625
1.737500,0.066967,-0.404194,0.269996
1.741667,0.072587,-0.509952,0.283685
1.745833,0.095220,-0.429965,0.266102
1.750000,0.121642,-0.507623,0.260649
1.754167,0.159492,-0.466688,0.239016
1.758333,0.126962,-0.547876,0.259416
1.762500,0.051665,-0.475152,0.228636
1.766667,0.063835,-0.546141,0.240079
1.770833,0.124465,-0.527668,0.238246
1.775000,0.123961,-0.595191,0.224375
1.779167,0.093107,-0.503666,0.208567
1.783333,0.119628,-0.530956,0.221241
1.787500,0.050190,-0.568740,0.204194
1.791667,0.027189,-0.575345,0.182479
1.795833,0.037260,-0.524407,0.196509
1.800000,0.066256,-0.544829,0.160748
1.804167,0.123658,-0.538327,0.162917
1.808333,0.086241,-0.587717,0.162920
1.812500,0.057524,-0.571466,0.142084
1.816667,0.084594,-0.537100,0.163770
1.820833,0.148899,-0.506848,0.133421
1.825000,0.061381,-0.583105,0.128528
1.829167,0.151632,-0.543440,0.146418
1.833333,0.153643,-0.551060,0.119183
1.837500,0.144948,-0.571751,0.113002
1.841667,0.153980,-0.535079,0.110701
1.845833,0.176859,-0.528840,0.086815
1.850000,0.103610,-0.531574,0.110495
1.854167,0.191585,-0.527664,0.080225
1.858333,0.107716,-0.504043,0.065318
1.862500,0.173458,-0.430758,0.090620
1.866667,0.161897,-0.426680,0.054662
1.870833,0.123966,-0.468077,0.078614
1.875000,0.109782,-0.417202,0.042789
1.879167,0.077622,-0.388391,0.053264
1.883333,0.073121,-0.400860,0.039006
1.887500,0.034906,-0.313363,0.021653
1.891667,0.141542,-0.327781,0.014970
1.895833,0.243488,-0.304403,0.036787
1.900000,0.513479,-0.306172,0.003470
1.904167,0.693579,-0.302687,-0.007045
1.908333,0.911265,-0.342354,-0.018056
1.912500,1.165028,-0.267731,-0.022667
1.916667,1.269144,-0.230385,-0.010519
1.920833,1.320662,-0.238030,-0.012748
1.925000,1.157897,-0.284396,-0.012032
1.929167,0.966179,-0.255601,-0.049662
1.933333,0.771627,-0.230586,-0.026606
1.937500,0.446697,-0.185582,-0.040207
1.941667,0.202342,-0.270261,-0.056433
1.945833,0.070292,-0.256255,-0.073893
1.950000,0.029762,-0.241171,-0.052073
1.954167,0.053518,-0.180137,-0.081604
1.958333,0.118494,-0.256887,-0.069950
1.962500,0.122001,-0.199270,-0.079576
1.966667,0.193916,-0.162299,-0.089321
1.970833,0.208617,-0.219820,-0.088042
1.975000,0.184833,-0.222848,-0.101499
1.979167,0.133123,-0.181777,-0.134349
1.983333,0.162081,-0.252811,-0.125546
1.987500,0.158121,-0.218359,-0.124946
1.991667,0.141379,-0.251281,-0.140048
1.995833,0.142136,-0.209386,-0.137673
2.000000,0.170817,-0.294054,-0.159933
2.004167,0.170745,-0.247007,-0.161992
2.008333,0.125981,-0.337844,-0.165589
2.012500,0.203256,-0.269771,-0.174214
2.016667,0.129914,-0.333823,-0.164848
2.020833,0.115908,-0.307616,-0.199034
2.025000,0.102610,-0.407090,-0.205198
2.029167,0.103004,-0.392138,-0.182205
2.033333,0.196960,-0.349334,-0.200418
2.037500,0.150115,-0.431420,-0.212952
2.041667,0.112090,-0.438254,-0.207000
2.045833,0.125098,-0.418899,-0.230260
2.050000,0.209200,-0.368599,-0.229101
2.054167,0.180190,-0.444034,-0.255535
2.058333,0.197590,-0.393604,-0.262319
2.062500,0.134848,-0.501153,-0.255228
2.066667,0.135756,-0.465412,-0.251922
2.070833,0.169739,-0.444194,-0.278906
2.075000,0.166033,-0.537309,-0.266444
2.079167,0.115950,-0.457264,-0.277549
2.083333,0.160353,-0.494752,-0.289352
2.087500,0.143968,-0.469114,-0.289931
2.091667,0.189716,-0.468059,-0.311481
2.095833,0.226862,-0.493182,-0.318660
2.100000,0.212166,-0.476227,-0.304125
2.104167,0.265469,-0.537466,-0.313812
2.108333,0.197398,-0.467072,-0.320328
2.112500,0.145555,-0.454375,-0.335069
2.116667,0.229374,-0.495076,-0.351233
2.120833,0.201462,-0.538686,-0.336779
2.125000,0.162985,-0.462266,-0.351249
2.129167,0.203707,-0.505750,-0.366036
2.133333,0.210120,-0.438093,-0.349125
2.137500,0.201734,-0.477261,-0.385473
2.141667,0.179811,-0.514003,-0.380588
2.145833,0.178816,-0.500176,-0.382242
2.150000,0.160200,-0.431233,-0.403912
2.154167,0.150778,-0.427081,-0.397288
2.158333,0.188198,-0.377384,-0.397729
2.162500,0.193151,-0.328522,-0.392726
2.166667,0.204362,-0.324430,-0.427041
2.170833,0.203254,-0.400970,-0.430571
2.175000,0.145942,-0.334633,-0.414004
2.179167,0.155739,-0.371965,-0.417427
2.183333,0.099606,-0.334730,-0.452744
2.187500,0.189887,-0.271941,-0.459479
2.191667,0.050930,-0.280973,-0.446480
2.195833,0.051096,-0.242120,-0.439804
2.200000,0.097412,-0.257006,-0.444282
2.204167,0.073465,-0.180750,-0.467906
2.208333,0.082407,-0.224388,-0.483565
2.212500,0.036098,-0.153051,-0.473574
2.216667,0.063586,-0.127962,-0.497219
2.220833,0.089528,-0.183546,-0.476688
2.225000,0.058901,-0.107529,-0.481660
2.229167,0.022434,-0.150331,-0.498968
2.233333,-0.001077,-0.065302,-0.526593
2.237500,-0.011109,-0.049792,-0.502483
2.241667,0.068176,-0.118516,-0.517297
2.245833,0.019185,-0.094618,-0.516733
2.250000,0.027800,-0.073923,-0.549777
2.254167,-0.011663,-0.041277,-0.545091
2.258333,-0.042040,-0.051783,-0.540667
2.262500,-0.009287,0.007061,-0.552867
2.266667,-0.070022,-0.014890,-0.545708
2.270833,0.049392,0.002140,-0.556202
2.275000,-0.062307,-0.011746,-0.569798
2.279167,-0.019704,-0.088508,-0.584728
2.283333,-0.065138,-0.015150,-0.562502
2.287500,-0.062321,-0.092843,-0.593101
2.291667,-0.016947,-0.063499,-0.602955
2.295833,-0.006176,-0.041467,-0.605837
2.300000,-0.032822,-0.036931,-0.612943
2.304167,0.000019,-0.092913,-0.620911
2.308333,-0.057875,-0.049361,-0.598233
2.312500,-0.055767,-0.099470,-0.623572
2.316667,0.010063,-0.073479,-0.627457
2.320833,-0.074747,-0.100881,-0.610495
2.325000,-0.022697,-0.047509,-0.638925
2.329167,-0.026940,-0.172947,-0.622401
2.333333,-0.053322,-0.139113,-0.633335
2.337500,-0.005455,-0.142992,-0.641828
2.341667,-0.006891,-0.124034,-0.662125
2.345833,-0.085443,-0.152365,-0.666120
2.350000,0.000417,-0.146882,-0.665359
2.354167,0.004982,-0.192742,-0.652652
2.358333,-0.110599,-0.132930,-0.677797
2.362500,-0.031047,-0.222457,-0.665132
2.366667,-0.010215,-0.268655,-0.681105
2.370833,-0.106243,-0.243395,-0.699135
2.375000,-0.036466,-0.184930,-0.691968
2.379167,-0.100890,-0.198506,-0.713902
2.383333,-0.031743,-0.222127,-0.711089
2.387500,-0.008386,-0.200525,-0.715049
2.391667,-0.125372,-0.234719,-0.702328
2.395833,-0.069826,-0.268490,-0.728723
2.400000,-0.037406,-0.277245,-0.708280
2.404167,-0.057681,-0.219669,-0.728316
2.408333,-0.117679,-0.232660,-0.715546
2.412500,-0.082384,-0.271467,-0.732664
2.416667,-0.046690,-0.303723,-0.750585
2.420833,-0.049839,-0.297489,-0.728552
2.425000,-0.062653,-0.245521,-0.735478
2.429167,-0.116792,-0.272858,-0.770010
2.433333,-0.068328,-0.258387,-0.762777
2.437500,-0.070871,-0.188640,-0.765017
2.441667,-0.086278,-0.200647,-0.775227
2.445833,-0.101256,-0.253941,-0.776603
2.450000,-0.049803,-0.219585,-0.767246
2.454167,-0.111892,-0.190522,-0.783133
2.458333,-0.057878,-0.176432,-0.798853
2.462500,-0.101322,-0.131530,-0.787740
2.466667,-0.114288,-0.134433,-0.785423
2.470833,-0.064924,-0.130012,-0.796895
2.475000,-0.066477,-0.139225,-0.800702
2.479167,-0.046302,-0.143483,-0.815813
2.483333,-0.037255,-0.032524,-0.814041
2.487500,0.015248,-0.034749,-0.808591
2.491667,-0.087260,-0.044863,-0.810603
2.495833,-0.095140,-0.013751,-0.801078
2.500000,-0.043625,0.016861,-0.837620
2.504167,-0.018518,0.007298,-0.824210
2.508333,0.034028,0.004114,-0.826395
2.512500,-0.022755,0.081733,-0.832630
2.516667,-0.007379,0.134864,-0.851009
2.520833,0.025742,0.088485,-0.831545
2.525000,-0.037536,0.145826,-0.845253
2.529167,-0.047411,0.145550,-0.832122
2.533333,-0.040473,0.171584,-0.838244
2.537500,0.062955,0.216096,-0.854171
2.541667,-0.009731,0.186929,-0.857126
2.545833,-0.043432,0.201982,-0.863725
2.550000,-0.034314,0.177555,-0.873605
2.554167,-0.000211,0.169314,-0.858347
2.558333,0.042169,0.169798,-0.857036
2.562500,0.025928,0.250527,-0.868988
2.566667,0.000588,0.188534,-0.889180
2.570833,0.016839,0.242834,-0.865458
2.575000,0.033231,0.242665,-0.883548
2.579167,-0.024384,0.208413,-0.895699
2.583333,0.018541,0.237063,-0.900873
2.587500,0.003692,0.322438,-0.900792
2.591667,0.018830,0.291190,-0.887292
2.595833,0.061820,0.260752,-0.882816
2.600000,0.052899,0.303707,-0.892916
2.604167,0.112221,0.217848,-0.886272
2.608333,0.089873,0.314093,-0.902346
2.612500,0.023676,0.234506,-0.905407
2.616667,0.114540,0.239002,-0.908310
2.620833,0.106349,0.280546,-0.926699
2.625000,0.071590,0.187737,-0.931969
2.629167,0.153550,0.239250,-0.934484
2.633333,0.138862,0.245505,-0.908599
2.637500,0.116017,0.213889,-0.907038
2.641667,0.128580,0.187556,-0.941956
2.645833,0.075664,0.207557,-0.937400
2.650000,-0.014140,0.186266,-0.941957
2.654167,0.019761,0.178338,-0.935208
2.658333,0.037866,0.098284,-0.935049
2.662500,0.070781,0.121265,-0.947128
2.666667,0.164516,0.150208,-0.955943
2.670833,0.445266,0.128641,-0.932265
2.675000,0.586996,0.097745,-0.951564
2.679167,0.808907,0.109704,-0.943948
2.683333,1.116324,0.097330,-0.949810
2.687500,1.254749,0.109140,-0.937234
2.691667,1.267866,0.083548,-0.952967
2.695833,1.220402,0.060602,-0.966937
2.700000,1.059571,0.090910,-0.951616
2.704167,0.835192,0.027790,-0.942055
2.708333,0.530528,0.041255,-0.970272
2.712500,0.302689,0.095866,-0.952714
2.716667,0.080019,0.037028,-0.949838
2.720833,-0.007427,0.076129,-0.976215
2.725000,-0.101474,0.031030,-0.980395
2.729167,0.012448,0.087060,-0.952878
2.733333,0.035078,0.062906,-0.976449
2.737500,0.108608,0.017503,-0.960476
2.741667,0.139835,0.087437,-0.952803
2.745833,0.111180,0.048686,-0.982017
2.750000,0.076616,0.107057,-0.955168
2.754167,0.121929,0.105796,-0.962574
2.758333,0.168770,0.139323,-0.978101
2.762500,0.073028,0.085995,-0.983113
2.766667,0.091092,0.071773,-0.984362
